country,scoreaxisLeagueName,leagueId
"Top tournaments","Premiership Northern Ireland",""
"Top tournaments","WSL England",""
"Top tournaments","Women's FA Cup England",""
"Albania","Kategoria Superiore Albania",""
"Albania","Albanian Cup",""
"Albania","Albanian Supercup",""
"Algeria","Ligue 1 Algeria",""
"Andorra","Primera Divisió Andorra",""
"Andorra","Andorra Cup",""
"Argentina","Torneo de Verano Argentina",""
"Argentina","Copa Argentina",""
"Argentina","Argentine Super Cup",""
"Argentina","Primera Nacional Argentina",""
"Argentina","Primera C Argentina",""
"Argentina","Primera B Metropolitana Argentina",""
"Argentina","Copa de la Liga Profesional Argentina",""
"Argentina","Liga Profesional Argentina",""
"Armenia","First League Armenia",""
"Armenia","Armenian Supercup",""
"Australia","NPL State League South Australia",""
"Australia","Australia Cup",""
"Australia","Brisbane Capital League Australia",""
"Australia","NPL Australia",""
"Australia","A-League Women Australia",""
"Austria","2. Liga Austria",""
"Austria","Regionalliga Austria",""
"Bahrain","Nasser Bin Hamad Premier League",""
"Bahrain","Bahraini Second Division",""
"Belgium","National Division 1 Belgium",""
"Belgium","Belgian Super Cup",""
"Bolivia","Primera Division Bolivia",""
"Bosnia and Herzegovina","Prva Liga Bosnia and Herzegovina",""
"Bosnia and Herzegovina","Premier League Bosnia and Herzegovina",""
"Bosnia and Herzegovina","Bosnia and Herzegovina Cup",""
"Botswana","Premier League Botswana",""
"Brazil","State Leagues Brazil",""
"Brazil","Serie C Brazil",""
"Brazil","Serie D Brazil",""
"Brazil","Cup Nordeste Brazil",""
"Brazil","Paulista A2 Brazil",""
"Brazil","Recopa Gaucha",""
"Cameroon","Elite One Cameroon",""
"Canada","Canadian Soccer League",""
"Canada","Premier League Canada",""
"Canada","Canadian Championship",""
"Chile","Primera B Chile",""
"Chile","Primera Division Chile",""
"Chile","Chile Cup",""
"Chile","Supercopa de Chile",""
"Colombia","Colombia Cup",""
"Colombia","Primera A Colombia",""
"Colombia","Primera B Colombia",""
"Costa Rica","Primera Division Costa Rica",""
"Costa Rica","Liga de Ascenso Costa Rica",""
"Costa Rica","Costa Rican Supercup",""
"Croatia","Prva NL Croatia",""
"Croatia","Croatian Cup",""
"Croatia","HNL Croatia",""
"Croatia","Croatian Super Cup",""
"Cyprus","Cypriot Cup",""
"Cyprus","2. Division Cyprus",""
"Cyprus","Cypriot Super Cup",""
"Cyprus","1. Division Cyprus",""
"Czechia","Czech Supercup",""
"Democratic Republic of the Congo","Linafoot Congo",""
"Denmark","3. Division Denmark",""
"Denmark","2. Division Denmark",""
"Denmark","U17 Ligaen Denmark",""
"Denmark","Elitedivisionen Women Denmark",""
"Denmark","U19 Ligaen Denmark",""
"Denmark","Kvinde-LP Denmark",""
"Denmark","Denmark Series",""
"Denmark","1. Division Women Denmark",""
"Ecuador","Serie B Ecuador",""
"Ecuador","Serie A Ecuador",""
"Ecuador","Copa Ecuador",""
"Egypt","Premier League Egypt",""
"Egypt","Egypt Cup",""
"El Salvador","Primera Division El Salvador",""
"England","Premier League U18 England",""
"England","National League North/South England",""
"England","Premier Reserve League England",""
"England","Northern Premier League England",""
"England","Premier Reserve League 2 England",""
"England","WSL Cup England",""
"England","Community Shield Women England",""
"Estonia","Esiliiga Estonia",""
"Estonia","Meistriliiga Estonia",""
"Estonia","Estonian Supercup",""
"Estonia","Estonian Cup",""
"Faroe Islands","Premier League Faroe Islands",""
"Faroe Islands","Faroe Islands Cup",""
"Finland","Veikkausliiga Finland",""
"Finland","Ykkonen Finland",""
"Finland","Kakkonen Finland",""
"Finland","Finnish Cup",""
"Finland","Kansallinen Liiga Women Finland",""
"France","National France",""
"France","National 2 France",""
"France","Division 1 Women France",""
"Germany","Regionalliga Germany",""
"Germany","3. Liga Germany",""
"Germany","Frauen-Bundesliga",""
"Germany","Oberliga Germany",""
"Ghana","Premier League Ghana",""
"Gibraltar","National League Gibraltar",""
"Gibraltar","Gibraltar's Cup",""
"Greece","Super League 2 Greece",""
"Greece","Football League Greece",""
"Guatemala","Liga Nacional Guatemala",""
"Honduras","Liga Nacional Honduras",""
"Hong Kong","1. Division Hong Kong",""
"Hungary","Hungarian Super Cup",""
"Iceland","1. Deild Iceland",""
"Iceland","Besta deild Iceland",""
"Iceland","Icelandic League Cup",""
"Iceland","Icelandic Cup",""
"Iceland","Icelandic Super Cup",""
"Iceland","2. Deild Iceland",""
"India","I-League India",""
"India","Super League India",""
"Indonesia","Liga 1 Indonesia",""
"International","Women's EURO U17",""
"International","UEFA Youth League",""
"International","EURO U19",""
"International","EURO U17",""
"International","Toulon Tournament",""
"International","West Asian Championship",""
"International","Confederations Cup",""
"International","The Atlantic Cup",""
"International","CECAFA Club Cup",""
"International","EURO U19 Women",""
"International","CONCACAF Championship U20",""
"International","African Nations Championship",""
"International","Friendly International U21",""
"International","AFC U19 Championship",""
"International","COSAFA Cup",""
"International","South American Youth Football Championship",""
"International","East Asian Championship Women",""
"International","Algarve Cup",""
"International","Campeones Cup",""
"International","SheBelieves Cup",""
"International","Audi Cup",""
"International","Africa Cup of Nations U20",""
"International","CONCACAF League",""
"International","OFC U19 Championship",""
"International","Premier League Asia Trophy",""
"International","AFC U17 Asian Cup",""
"Iran","Azadegan League Iran",""
"Iran","Persian Gulf Pro League Iran",""
"Iran","Iranian Hazfi Cup",""
"Iraq","Premier League Iraq",""
"Ireland","Premier Division Ireland",""
"Ireland","First Division Ireland",""
"Ireland","Super Cup Ireland",""
"Ireland","FAI Cup Ireland",""
"Ireland","League Cup Ireland",""
"Ireland","Women's National League Ireland",""
"Israel","Leumit League Israel",""
"Israel","State Cup Israel",""
"Israel","Premier League Israel",""
"Israel","Toto Cup Israel",""
"Israel","Super Cup Israel",""
"Italy","Coppa Italia Primavera",""
"Italy","Serie C Italy",""
"Italy","Serie D Italy",""
"Italy","Serie A Women Italy",""
"Ivory Coast","Ligue 1 Ivory Coast",""
"Jamaica","Premier League Jamaica",""
"Japan","Nadeshiko League Women Japan",""
"Jordan","Pro League Jordan",""
"Kazakhstan","Womens Championship",""
"Kenya","Premier League Kenya",""
"Kenya","Super League Kenya",""
"Kosovo","Superliga Kosovo",""
"Kosovo","Kosovar Cup",""
"Kuwait","Premier League Kuwait",""
"Latvia","Virsliga Latvia",""
"Latvia","Latvian Cup",""
"Lebanon","Premier League Lebanon",""
"Liechtenstein","Liechtenstein Cup",""
"Lithuania","A Lyga Lithuania",""
"Lithuania","Lithuanian Supercup",""
"Lithuania","I Lyga Lithuania",""
"Lithuania","Lithuanian Cup",""
"Luxembourg","National Division Luxembourg",""
"Luxembourg","Luxembourg Cup",""
"Malaysia","Super League Malaysia",""
"Malaysia","Premier League Malaysia",""
"Malta","Premier League Malta",""
"Malta","Challenge League Malta",""
"Malta","FA Trophy Malta",""
"Mexico","Ascenso MX Mexico",""
"Mexico","Liga Premier Mexico",""
"Mexico","Liga MX Femenil Mexico",""
